id,chart_template_id:id,ref_tax_sign,type_tax_use,child_depend,description,price_include,type,base_sign,tax_code_id:id,amount,base_code_id:id,account_paid_id:id,tax_sign,sequence,ref_base_sign,ref_base_code_id:id,parent_id:id,name,account_collected_id:id,ref_tax_code_id:id
21v,l10n_it_chart_template_generic,-1,sale,N,21v,N,percent,1,template_IVD2I,0.21,template_IVD21I,,1,1,-1,template_IVD21I,,Iva al 21% (debito),,template_IVD21I
21a,l10n_it_chart_template_generic,1,purchase,N,21a,N,percent,-1,template_IVC21I,0.21,template_IVC21I,,-1,2,1,template_IVC21I,,Iva al 21% (credito),,template_IVC21I
20v,l10n_it_chart_template_generic,-1,sale,N,20v,N,percent,1,template_IVD20,0.2,template_IVD20I,,1,3,-1,template_IVD20I,,Iva al 20% (debito),,template_IVD20
20a,l10n_it_chart_template_generic,1,purchase,N,20a,N,percent,-1,template_IVC20,0.2,template_IVC20I,,-1,4,1,template_IVC20I,,Iva al 20% (credito),,template_IVC20
10v,l10n_it_chart_template_generic,-1,sale,N,10v,N,percent,1,template_IVD10I,0.1,template_IVD10I,,1,5,-1,template_IVD10I,,Iva al 10% (debito),,template_IVD10I
10a,l10n_it_chart_template_generic,1,purchase,N,10a,N,percent,-1,template_IVC10,0.1,template_IVC10I,,-1,6,1,template_IVC10I,,Iva al 10% (credito),,template_IVC10
10AO,l10n_it_chart_template_generic,1,purchase,Y,10AO,N,percent,-1,,0.1,template_IVC10Iind,,-1,7,1,template_IVC10Iind,,Iva al 10% indetraibile,,
12v,l10n_it_chart_template_generic,-1,sale,N,12v,N,percent,1,template_IVD12I,0.12,template_IVD12I,,1,8,-1,template_IVD12I,,Iva 12% (debito),,template_IVD12I
12a,l10n_it_chart_template_generic,1,purchase,N,12a,N,percent,-1,template_IVC12,0.12,template_IVC12I,,-1,9,1,template_IVC12I,,Iva 12% (credito),,template_IVC12
2010,l10n_it_chart_template_generic,1,purchase,Y,2010,N,percent,-1,,0.2,template_IVC20Idet10,,-1,10,1,template_IVC20Idet10,,Iva al 20% detraibile 10%,,
