id,reconcile,code,parent_id/id,name,user_type/id,type
0,False,0,,CSCS CStudi,account.data_account_type_view,View
1,True,1,0,ATTIVO  CStudi,account.data_account_type_view,View
11,True,11,1,IMMOBILIZZAZIONI IMMATERIALI  CStudi,account.data_account_type_view,View
110100,True,110100,11,costi di impianto  CStudi,account.data_account_type_asset,Regular
110200,True,110200,11,Partecipazioni in altre imprese CStudi,account.data_account_type_asset,Regular
110600,True,110600,11,software  CStudi,account.data_account_type_asset,Regular
110800,True,110800,11,avviamento  CStudi,account.data_account_type_asset,Regular
111100,True,111100,11,fondo ammortamento costi di impianto  CStudi,account.data_account_type_asset,Regular
111600,True,111600,11,fondo ammortamento software  CStudi,account.data_account_type_asset,Regular
111800,True,111800,11,fondo ammortamento avviamento  CStudi,account.data_account_type_asset,Regular
12,True,12,1,IMMOBILIZZAZIONI MATERIALI  CStudi,account.data_account_type_view,View
120100,True,120100,12,fabbricati  CStudi,account.data_account_type_asset,Regular
120200,True,120200,12,impianti e macchinari  CStudi,account.data_account_type_asset,Regular
120250,False,120250,12,"beni inferiori a  516,46 Cstudi",account.data_account_type_asset,Regular
120400,True,120400,12,attrezzature commerciali  CStudi,account.data_account_type_asset,Regular
120500,True,120500,12,macchine d'ufficio  CStudi,account.data_account_type_asset,Regular
120600,True,120600,12,arredamento  CStudi,account.data_account_type_asset,Regular
120700,True,120700,12,automezzi  CStudi,account.data_account_type_asset,Regular
120800,True,120800,12,imballaggi durevoli  CStudi,account.data_account_type_asset,Regular
121100,True,121100,12,fondo ammortamento fabbricati  CStudi,account.data_account_type_asset,Regular
121200,True,121200,12,fondo ammortamento impianti e macchinari  CStudi,account.data_account_type_asset,Regular
121400,True,121400,12,fondo ammortamento attrezzature commerciali  CStudi,account.data_account_type_asset,Regular
121500,True,121500,12,fondo ammortamento macchine d'ufficio  CStudi,account.data_account_type_asset,Regular
121600,True,121600,12,fondo ammortamento arredamento  CStudi,account.data_account_type_asset,Regular
121700,True,121700,12,fondo ammortamento automezzi  CStudi,account.data_account_type_asset,Regular
121800,True,121800,12,fondo ammortamento imballaggi durevoli  CStudi,account.data_account_type_asset,Regular
122000,True,122000,12,fornitori immobilizzazioni c/acconti  CStudi,account.data_account_type_asset,Regular
13,True,13,1,IMMOBILIZZAZIONI FINANZIARIE  CStudi,account.data_account_type_view,View
130100,True,130100,13,mutui attivi  CStudi,account.data_account_type_asset,Regular
14,True,14,1,RIMANENZE  CStudi,account.data_account_type_view,View
140100,True,140100,14,materie di consumo  CStudi,account.data_account_type_asset,Regular
140170,False,140170,14,Lav. In corso progetto CREBUS CStudi,account.data_account_type_asset,Regular
140171,False,140171,14,Voucher in corso Cstudi,account.data_account_type_asset,Regular
